"id","data.items[0].classification.scheme"
"5faeed91b1ad42cd9bf82e954a5a7f00","CPV"
"ae5ccc2b1a974a80a294f21190dbd7ed","CPV"
"19efc9c5ac19452c97dc6f899d0d8ad3","CPV"
"0ec3f27f00c74d1c8ce1149b1e553655","CPV"
"2c01148e85654a94a8e9819da9b17d20","CPV"
"0d6d548306914b71a8d15308e398dc80","CPV"
"a81f3bbb9d0e4fed81bf66480e9911cd","CPV"
"e9a9ad23783743f7a222ec306a158dd4","CPV"
"b931c36164654d9baef9a3b8b833ed30","CPV"
"9efdcd93199e4031a2f7926038daab05","CPV"
"33092ed503814ad5a25f2e2f793a747c","CPV"
"bf29d7a9018b45a891906e8c55a3858e","CPV"
"f9bd69a6dcde427b91985fc880b5e424","CPV"
"4f98ad0c9cb94f5d97f0da5473e7f9ea","CPV"
"fd9d59ea9ce443cfba023a9eb318790f","CPV"
"260302eb83f746f7abd378d142502337","CPV"
"91add656fd424153a98099c321f2c14b","CPV"
"6075cac20f004385aeead161a5888f56","CPV"
"1954591afaa14de08e6fbe6d3ae67cc7","CPV"
"7dd5668189454f5994da57b6ac43631d","CPV"
"67403dc828034b2eb3c12b40674da3ad","CPV"
"d6e5338751b14654a1dc67051a239ff8","CPV"
"d4ef4f6b43e1444c94015b67c3cfd535","CPV"
"4a946970c38a4c97b154dd79cdf697b6","CPV"
"93a22e3540c848509436178fb7a4f4b0","CPV"
"95947b06b1434caeb2be9313841e5c7f","CPV"
"cca84232de6b4e998b372ef8ba5fa39e","CPV"
"eaf62874e2df4be99920bcb7d0c9fa46","CPV"
"93a6b5da9263445fb8e70dd9489e0902","CPV"
"b0fd7114a8014eb4b125638d9f428430","CPV"
"f0465b35c79a4258bf909baa114dcb9f","CPV"
"b3984f3122f4447dbe925c86dcbf18b3","CPV"
"ab0a09db0b4843be8ef0c4472971150f","CPV"
"6105c79aff844e36a43d22bc4c6f9d39","CPV"
"f6420614d20a4798957374326b08884b","CPV"
"2b10318f292b44c48222e7c089706f93","CPV"
"252b979d7d5446a2a528af2e676d3e5d","CPV"
"22520751bee54caeaab04c74a165f5f9","CPV"
"d040325948554fab9b017347a95aea7f","CPV"
"ceef90d9651b47d1b60b3c1a570fe968","CPV"
"735a9402d4e142b186cd749c7e94951f","CPV"
"5986b6dad9cd40e693d476b149c76522","CPV"
"72186879b9e44d66b8c3c52302c39678","CPV"
"92a44fdcb5b44925938b970543fe3855","CPV"
"16c3b6de97c440e2ba7d2ca18eefb18c","CPV"
"9a6455335d574ae2963b4b73f686a512","CPV"
"7a54e0ae14e641faab2bae2529601e9c","CPV"
"efbcb79ef7ec4586a7915ec615d67890","CPV"
"f7e7e6315f4447c4a181d3c8c9264e1a","CPV"
"4a26c91a58744a9280580da5bbb72278","CPV"
"fbf2634a6d4a4cb8adaddcf740ded799","CPV"
"ff5cbf0f3ae846f89de854ba74d2295f","CPV"
"1955d930ced640ddb1308efd3dcf0d1a","CPV"
"043efc9de46e4b8ea87e42958f7c51a3","CPV"
"1bf084785b7b42629114c7554ee45f71","CPV"
"146d1a14640640eda737fb8b0d17f93d","CPV"
"2b833d7167534273a6b95db1e6719bfe","CPV"
"27c52d486a86458ba426fbbfbe5c0a49","CPV"
"e2c24739b625463ab89167f5bb8eeea1","CPV"
"0ea9e8c8bb794000958aad150ef1aadf","CPV"
"ad10b9fb20cf41c59d057063794385b5","CPV"
"2716b2f4292e43019778a70cae4d9a2f","CPV"
"1ff5d872d2c340d6b60a01320eae704c","CPV"
"24a08ec9871b4137843ea7fd3e4f66a9","CPV"
"4d7ba63bfad2404e9867083db052ed87","CPV"
"16236c5ea31540dc9bc8045438752c12","CPV"
"e3b50a1c82454eccb1ee8d199dc86400","CPV"
"15be5ef821c74141a7ed277427fdbbf4","CPV"
"fc0f1323e8ed420fbcf45f9d3549e8d1","CPV"
"9a59667e7a6a49168c943f070d2582ba","CPV"
"234d96b6ae994e58b1e117be0420bcd8","CPV"
"2db732ec09994c638bfb5252f1d520bd","CPV"
"e9ba943b933a47cb8c79ad6a528cf9ec","CPV"
"742b3bd8aa424324866209208abec6be","CPV"
"db05fdc85fbc414e80c3f890f9b628ff","CPV"
"b78f39465de840d6b36732f8150e66e9","CPV"
"9415d571d77d4263b7b8e6f566fe19ae","CPV"
"a6725b3186c540dc8f913a29d49dcbce","CPV"
"5ebba4dd7e2b42a79099044bf12aa8db","CPV"
"29925b4da21d4e5bae9903d7ca5e3a21","CPV"
"8c19954bc64a40b1b9c25477c4be3f6a","CPV"
"e3e765d514a245eb948897e287688ae7","CPV"
"735ccb14cb3c40bdbd27749011300e52","CPV"
"1f8956c3fe28483ab09a75453ada66e2","CPV"
"565c60cc791c43baac19dad2e2cb54b0","CPV"
"1c84256b49d04db5900d77d30d676257","CPV"
